City_ID,City,Lat,Lan,Temp_max,Hum,Cloudness,WindSpeed,Country,Date
126,porto velho,-8.7619,-63.9039,73.4,94,75,4.61,BR,1617249445
127,vila velha,-20.3297,-40.2925,71.6,88,90,3.44,BR,1617249445
128,goderich,43.7501,-81.7165,32.0,64,91,16.11,CA,1617249445
130,east london,-33.0153,27.9116,64.4,82,90,4.61,ZA,1617249446
131,longyearbyen,78.2186,15.6401,30.2,69,75,11.5,SJ,1617249446
132,san patricio,28.017,-97.5169,71.6,49,90,12.66,US,1617249446
133,mackay,-21.15,149.2,80.6,65,40,25.32,AU,1617249447
134,ostrovnoy,68.0531,39.5131,31.3,95,100,10.29,RU,1617249447
135,guerrero negro,27.9769,-114.0611,67.01,45,56,8.3,MX,1617249447
136,anori,-3.7728,-61.6442,73.35,98,100,2.33,BR,1617249447
137,glinishchevo,53.3042,34.0652,42.8,100,90,6.71,RU,1617249447
138,machico,32.7,-16.7667,59.0,72,20,4.61,PT,1617249447
139,kodiak,57.79,-152.4072,30.2,47,1,17.27,US,1617249447
140,port macquarie,-31.4333,152.9167,75.99,60,75,12.66,AU,1617249448
141,katsuura,35.1333,140.3,68.0,63,75,4.61,JP,1617249448
142,cidreira,-30.1811,-50.2056,67.96,77,49,11.23,BR,1617249448
143,aswan,24.0934,32.907,59.2,31,0,8.95,EG,1617249448
144,komsomolskiy,40.4272,71.7189,44.6,45,20,34.52,UZ,1617249448
145,qaanaaq,77.484,-69.3632,-11.94,68,65,8.59,GL,1617249448
146,khatanga,71.9667,102.5,-20.56,91,23,0.56,RU,1617249448
147,izumo,35.3667,132.7667,62.6,42,0,21.85,JP,1617249449
148,iaciara,-14.0958,-46.6317,71.31,64,19,1.34,BR,1617249449
149,oistins,13.0667,-59.5333,75.2,69,75,23.02,BB,1617249449
151,ponta do sol,32.6667,-17.1,57.99,73,24,1.99,PT,1617249449
152,bluff,-46.6,168.3333,57.99,77,100,8.99,NZ,1617249449
