City_ID,City,Lat,Lan,Temp_max,Hum,Cloudness,WindSpeed,Country,Date
521,haines junction,60.7522,-137.5108,17.6,79,100,1.14,CA,1617284194
522,charters towers,-20.1,146.2667,68.43,66,20,8.88,AU,1617284194
523,orocue,4.7912,-71.3354,83.08,68,100,2.8,CO,1617284194
524,ambon,-3.6954,128.1814,78.8,89,40,5.75,ID,1617284194
525,aurora,39.7294,-104.8319,30.99,47,1,8.05,US,1617284195
526,plettenberg bay,-34.0527,23.3716,63.1,72,98,3.71,ZA,1617284195
527,bondoukou,8.0333,-2.8,98.37,24,17,7.45,CI,1617284195
528,konstantinovka,49.6167,127.9833,42.73,61,76,5.97,RU,1617284195
529,honiara,-9.4333,159.95,78.26,87,85,2.53,SB,1617283981
530,bacabal,-4.2917,-44.7917,85.08,74,69,1.95,BR,1617284195
531,pauini,-7.7136,-66.9764,84.16,60,24,1.77,BR,1617284196
532,vila velha,-20.3297,-40.2925,80.6,61,0,6.91,BR,1617284196
533,kashi,39.4547,75.9797,51.8,40,75,8.95,CN,1617284196
534,neuquen,-38.9516,-68.0591,60.8,77,20,9.22,AR,1617284196
535,saint-augustin,51.226,-58.6502,33.01,99,100,8.37,CA,1617284196
536,angoche,-16.2325,39.9086,79.97,63,22,11.27,MZ,1617284196
537,kavieng,-2.5744,150.7967,81.97,79,92,9.44,PG,1617284196
538,avera,33.194,-82.5271,48.99,49,1,12.66,US,1617284197
539,padang,-0.9492,100.3543,80.6,83,40,2.3,ID,1617284010
540,salamanca,40.8333,-6.0,71.01,37,12,17.0,ES,1617284197
541,quito,-0.2299,-78.5249,57.2,82,40,5.75,EC,1617283919
542,eregli,37.5133,34.0467,53.4,32,92,13.22,TR,1617284197
543,fairbanks,64.8378,-147.7164,5.0,85,90,10.36,US,1617284197
544,minot,48.2325,-101.2963,34.0,40,1,13.8,US,1617284197
545,mackenzie,55.2999,-123.1698,32.0,100,90,9.22,CA,1617284198
546,ushtobe,45.2514,77.9838,42.73,48,100,7.31,KZ,1617284198
547,san patricio,28.017,-97.5169,60.01,41,90,17.27,US,1617284199
548,lewistown,40.5992,-77.5714,39.2,75,75,11.5,US,1617284199
